Fecha,Primera dosis,Segunda (proyección),Segunda dosis,Objetivo
03-ene-21,0,null,0,null
10-ene-21,277976,null,0,null
17-ene-21,768950,null,0,null
24-ene-21,1097369,null,68456,null
31-ene-21,1222323,null,251866,null
07-feb-21,1305251,null,682909,null
14-feb-21,1422560,null,1000485,null
21-feb-21,1764985,null,1171026,null
28-feb-21,2361852,1243783,1243783,1243783
07-mar-21,3158387,1361092,null,2307193
14-mar-21,3729805,1703517,null,3370604
21-mar-21,4046782,2300384,null,4434014
28-mar-21,4164091,3096919,null,5497425
04-abr-21,4506516,3668337,null,6560835
11-abr-21,5103383,3985314,null,7624246
18-abr-21,5899917,4102623,null,8687656
25-abr-21,6471336,4445048,null,9751067
02-may-21,6788312,5041915,null,10814477
09-may-21,6905621,5838449,null,11877888
16-may-21,7248046,6409868,null,12941298
23-may-21,7844913,6726844,null,14004709
30-may-21,8641448,6844153,null,15068119
06-jun-21,9212866,7186578,null,16131530
13-jun-21,9529843,7783445,null,17194940
20-jun-21,9647152,8579980,null,18258350
27-jun-21,9989577,9151398,null,19321761
04-jul-21,10586444,9468375,null,20385171
11-jul-21,11382978,9585684,null,21448582
18-jul-21,11954397,9928109,null,22511992
25-jul-21,12271373,10524976,null,23575403
01-ago-21,12388682,11321510,null,24638813
08-ago-21,12731107,11892929,null,25702224
15-ago-21,13327974,12209905,null,26765634
22-ago-21,14124509,12327214,null,27829045
29-ago-21,14695927,12669639,null,28892455
05-sep-21,15012904,13266506,null,29955866
12-sep-21,15130213,14063041,null,31019276
19-sep-21,15472638,14634459,null,32082687
26-sep-21,16069505,14951436,null,33146097
03-oct-21,16866039,15068745,null,34209507
10-oct-21,17437458,15411170,null,35272918
17-oct-21,17754434,16008037,null,36336328
24-oct-21,17871743,16804571,null,37399739
31-oct-21,18214168,17375990,null,38463149
07-nov-21,18811035,17692966,null,39526560
14-nov-21,19607570,17810275,null,40589970
21-nov-21,20178988,18152700,null,41653381
28-nov-21,20495965,18749567,null,42716791
05-dic-21,20613274,19546102,null,43780202
12-dic-21,20955699,20117520,null,44843612
19-dic-21,21552566,20434497,null,45907023
26-dic-21,22349100,20551806,null,46970433
02-ene-22,22920519,20894231,null,47351567
09-ene-22,23237495,21491098,null,null
16-ene-22,23354804,22287632,null,null
23-ene-22,23697229,22859051,null,null
30-ene-22,24294096,23176027,null,null
06-feb-22,25090631,23293336,null,null
13-feb-22,25662049,23635761,null,null
20-feb-22,25979026,24232628,null,null
27-feb-22,26096335,25029163,null,null
06-mar-22,26438760,25600581,null,null
13-mar-22,27035627,25917558,null,null
20-mar-22,27832161,26034867,null,null
27-mar-22,28403580,26377292,null,null
03-abr-22,28720556,26974159,null,null
10-abr-22,28837865,27770693,null,null
17-abr-22,29180290,28342112,null,null
24-abr-22,29777157,28659088,null,null
01-may-22,30573692,28776397,null,null
08-may-22,31145110,29118822,null,null
15-may-22,31462087,29715689,null,null
22-may-22,31579396,30512224,null,null
29-may-22,31921821,31083642,null,null
05-jun-22,32518688,31400619,null,null
12-jun-22,33315222,31517928,null,null
19-jun-22,33886641,31860353,null,null
26-jun-22,34203617,32457220,null,null
03-jul-22,34320926,33253754,null,null
10-jul-22,34663351,33825173,null,null
17-jul-22,35260218,34142149,null,null
24-jul-22,36056753,34259458,null,null
31-jul-22,36628171,34601883,null,null
07-ago-22,36945148,35198750,null,null
14-ago-22,37062457,35995285,null,null
21-ago-22,37404882,36566703,null,null
28-ago-22,38001749,36883680,null,null
04-sep-22,38798283,37000989,null,null
11-sep-22,39369702,37343414,null,null
18-sep-22,39686678,37940281,null,null
25-sep-22,39803987,38736815,null,null
02-oct-22,40146412,39308234,null,null
09-oct-22,40743279,39625210,null,null
16-oct-22,41539814,39742519,null,null
23-oct-22,42111232,40084944,null,null
30-oct-22,42428209,40681811,null,null
06-nov-22,42545518,41478346,null,null
13-nov-22,42887943,42049764,null,null
20-nov-22,43484810,42366741,null,null
27-nov-22,44281344,42484050,null,null
04-dic-22,44852763,42826475,null,null
11-dic-22,45169739,43423342,null,null
18-dic-22,45287048,44219876,null,null
25-dic-22,45629473,44791295,null,null
01-ene-23,46226340,45108271,null,null
08-ene-23,47022875,45225580,null,null
15-ene-23,47351567,45568005,null,null
22-ene-23,null,46164872,null,null
29-ene-23,null,46961407,null,null
05-feb-23,null,47351567,null,null